,Case Number,Date,Year,Type,Country,Area,Location,Activity,Name,Sex ,Age,Injury,Fatal,Time,Species ,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Unnamed: 22,Unnamed: 23
2627,1990.08.19.b,19-Aug-1990,1990,Unprovoked,usa,Texas,"Mustang Island, Nueces County",surfing,male,M,25.0,minor cuts to foot,False,Unknown,Unknown,"Dallas Morning News, 8//22/1990",1990.08.19.b-Surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.b-Surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.b-Surfer.pdf,1990.08.19.b,1990.08.19.b,3676.0,unknown,unknown
2628,1990.08.19.a,19-Aug-1990,1990,Unprovoked,usa,Texas,"Near Port Aransas, Nueces County",wade fishing,Jimmy Allen,M,18.0,minor injury,False,Unknown,Unknown,"Dallas Morning News, 8//22/1990",1990.08.19.a-b-Allen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.a-b-Allen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.08.19.a-b-Allen.pdf,1990.08.19.a,1990.08.19.a,3675.0,unknown,unknown
2629,1990.07.22,22-Jul-1990,1990,Unprovoked,usa,Texas,"Mustang Island State Park, Nueces County",wading,Barbara Green,F,53.0,10-inch laceration to right foot,False,Unknown,Unknown,"Paris News, 7/23/1990",1990.07.22-Greem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.22-Greem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.22-Greem.pdf,1990.07.22,1990.07.22,3674.0,unknown,unknown
2630,1990.07.08,08-Jul-1990,1990,Unprovoked,usa,Florida,"Perdido Key near the Florida Panhandle, Escambia County",surfing,Scott Holloway,M,17.0,minor injury to left ankle & foot,False,Unknown,Unknown,"Orlando Sentinel, 7/8/1990, p.B.1",1990.07.08-Holloway.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.08-Holloway.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.07.08-Holloway.pdf,1990.07.08,1990.07.08,3673.0,unknown,unknown
2631,1990.06.24,24-Jun-1990,1990,Unprovoked,south africa,Western Cape Province,Mossel Bay,scuba diving (but on surface),Monique Price,F,21.0,"fatal, thigh bitten  ",True,Unknown,Unknown,"A Gifford, G. Cliff, GSAF",1990.06.24 - Price.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.24 - Price.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.24 - Price.pdf,1990.06.24,1990.06.24,3672.0,unknown,unknown
2632,1990.06.23,23-Jun-1990,1990,Unprovoked,bahamas,bahamas,Bimini,spearfishing,Bruce Cease,M,38.0,left forearm bitten,False,Unknown,Unknown,"Miami Herald, 6/25/1990",1990.06.23-Cease.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.23-Cease.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.06.23-Cease.pdf,1990.06.23,1990.06.23,3671.0,unknown,unknown
2633,1990.05.13,13-May-1990,1990,Provoked,south africa,KwaZulu-Natal,Protea Reef,fishing,"skiboat Double One, occupants: Anton & Michelle Gets, Ray Whitaker, John & Lyn Palmer",M,25.0,"no injury to occupants, hooked shark freed itself, then rammed stern of boat provoked incident",False,Unknown,Unknown,"G. Charter, GSAF",1990.05.13-DoubleOne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.13-DoubleOne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.13-DoubleOne.pdf,1990.05.13,1990.05.13,3670.0,unknown,unknown
2634,1990.05.10,10-May-1990,1990,Unprovoked,australia,Queensland,Outer Barrier Reef near Port Douglas,snorkeling, Sydney woman,F,25.0,lacerations,False,Unknown,Unknown,"Courier-Mail, 5/11/1990, p.1",1990.05.10.b-Sydney-woman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.b-Sydney-woman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.b-Sydney-woman.pdf,1990.05.10,1990.05.10,3669.0,unknown,unknown
2635,1990.05.10,10-May-1990,1990,Unprovoked,australia,Queensland,Outer Barrier Reef near Port Douglas,"snorkeling, possibly holding a fish",German male,M,25.0,lacerations,False,Unknown,Unknown,"Courier-Mail, 5/11/1990, p.1",1990.05.10.a-German-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.a-German-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.10.a-German-male.pdf,1990.05.10,1990.05.10,3668.0,unknown,unknown
2636,1990.05.06,06-May-1990,1990,Unprovoked,south africa,Eastern Cape Province,Cintsa East,resting on surfboard,Richard Forrester,M,22.0,thigh severely lacerated,False,Unknown,Unknown,"R. Forrester, M. Levine, GSAF",1990.05.06-Forrester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.06-Forrester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.05.06-Forrester.pdf,1990.05.06,1990.05.06,3667.0,unknown,unknown
2637,1990.04.14,14-Apr-1990,1990,Unprovoked,south africa,Eastern Cape Province,Cape Recife,lying on surfboard & paddling,Conrad Botha,M,23.0,leg bitten,False,Unknown,Unknown,M. Smale,1990.04.14-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.14-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.14-Botha.pdf,1990.04.14,1990.04.14,3666.0,unknown,unknown
2638,1990.04.09,09-Apr-1990,1990,Unprovoked,australia,Queensland,Greenmount Beach,surfing,Mark Fleming,M,31.0,"lacerations & abrasions, board bitten in half",False,Unknown,Unknown,"Herald, 4/10/1990, p.4 & 4/11/1990, p.1",1990.04.09-Fleming.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.09-Fleming.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.09-Fleming.pdf,1990.04.09,1990.04.09,3665.0,unknown,unknown
2639,1990.04.08,08-Apr-1990,1990,Unprovoked,australia,Queensland,"Dingo Reef, 80 nm off Townsville",free diving for trochus,Robert Bullen,M,37.0,presumed fatal,True,Unknown,Unknown,"Courier-Mail, 4/12/1990, p.5",1990.04.08-Bullen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.08-Bullen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.08-Bullen.pdf,1990.04.08,1990.04.08,3664.0,unknown,unknown
2640,1990.04.07,07-Apr-1990,1990,Unprovoked,australia,Queensland,Fingal Beach,surfing,"male, an American tourist",M,25.0,"no injury, board broken in two",False,Unknown,Unknown,"Herald, 4/10/1990, p.4",1990.04.07-AmericanTourist.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.07-AmericanTourist.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.07-AmericanTourist.pdf,1990.04.07,1990.04.07,3663.0,unknown,unknown
2641,1990.04.06,06-Apr-1990,1990,Unprovoked,australia,Queensland,Fingal Beach,surfing,Tony Patton,M,29.0,"no injury, board bitten",False,Unknown,Unknown,"Herald, 4/10/1990, p.4",1990.04.06-TonyPatton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.06-TonyPatton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.06-TonyPatton.pdf,1990.04.06,1990.04.06,3662.0,unknown,unknown
2642,1990.04.01,01-Apr-1990,1990,Unprovoked,usa,Hawaii,"Silver (Silva) Channels, Waialua, O'ahu",sitting on surfboard,Everett Peacock,M,25.0,"ankle lacerated, lower left leg severely abraded ",False,Unknown,Unknown,"J. Borg, p.79; L. Taylor (1993), pp.110-111",1990.04.01-Peacock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.01-Peacock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.04.01-Peacock.pdf,1990.04.01,1990.04.01,3661.0,unknown,unknown
2643,1990.03.24,  24-Mar-1990,1990,Unprovoked,fiji,Laucala Island,Unknown,swimming,Ola Stillman Rockefeller,M,30.0,lacerations to right leg,False,Unknown,Unknown,"The News, 3/27/1990, p.6",1990.03.24-Rockefeller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.24-Rockefeller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.24-Rockefeller.pdf,1990.03.24,1990.03.24,3660.0,unknown,unknown
2644,1990.03.05,05-Mar-1990,1990,Unprovoked,reunion,Sainte-Marie,Baie de la Mare,surfing,Wagner Cataldo-Beugleu,M,25.0,survived,False,Unknown,Unknown,G. Van Grevelynghe,1990.03.05-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.05-Reunion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.03.05-Reunion.pdf,1990.03.05,1990.03.05,3659.0,unknown,unknown
2645,1990.02.17,17-Feb-1990,1990,Unprovoked,usa,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",scuba diving & spearfishing,Roy T. Tanaka,M,25.0,right arm severed  fatal,True,Unknown,Unknown,"J. Borg, pp.78-79; L. Taylor (1993) pp.110-111",1990.02.17-Tanaka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.02.17-Tanaka.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.02.17-Tanaka.pdf,1990.02.17,1990.02.17,3658.0,unknown,unknown
2646,1990.02.05,05-Feb-1990,1990,Unprovoked,usa,Florida,"Monster Hole, Sebastian Inlet, Indian River County",board sailing,Bruce Ferguson,M,33.0,foot bitten,False,Unknown,Unknown,"Orlando Sentinel, Feb 9, 1990. pg. B.3",1990.02.05-Ferguson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.02.05-Ferguson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.02.05-Ferguson.pdf,1990.02.05,1990.02.05,3657.0,unknown,unknown
2647,1990.01.12,12-Jan-1990,1990,Unprovoked,usa,California,"Montera Beach, San Mateo County",surfing (sitting on his board),Sean Sullivan,M,25.0,"no injury, board bitten",False,Unknown,Unknown,"J. McCosker & R.N. Lea; R. Collier, p. 116 ; A. MacCormick, p.67",1990.01.12-Sullivan_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.01.12-Sullivan_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.01.12-Sullivan_Collier.pdf,1990.01.12,1990.01.12,3656.0,unknown,unknown
2648,1990.00.00,1990,1990,Unprovoked,usa,Florida,"Pensacola, Escambia County",surfing,male,M,17.0,nan,False,Unknown,Unknown,,1990.00.00-NV-Pensacola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.00.00-NV-Pensacola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1990.00.00-NV-Pensacola.pdf,1990.00.00,1990.00.00,3655.0,unknown,unknown
2649,1989.12.19,19-Dec-1989,1989,Provoked,usa,Hawaii,"90 miles east of Hilo, Hawai'i",on board 51' fishing vessel one ki,George Sohswel,M,25.0,left leg & foot bitten  by shark brought onboard. provoked incident,False,Unknown,Unknown,"J. Borg, p.78; L. Taylor (1993), pp.108-109",1989.12.19-Sohswel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.19-Sohswel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.19-Sohswel.pdf,1989.12.19,1989.12.19,3654.0,unknown,unknown
2650,1989.12.03,03- Dec-1989,1989,Unprovoked,australia,Northern Territory,Gove Peninsula near Darwin,nan,Ryan Johnson,M,17.0,"no details, ""recovering in darwin hospital""",False,Unknown,Unknown,"Courier-Mail, 12/6/1989",1989.12.03-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.03-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.03-Johnson.pdf,1989.12.03,1989.12.03,3653.0,unknown,unknown
2651,1989.12.02,02-Dec-1989,1989,Invalid,australia,Queensland,Fraser Island,swimming,Michael Preston,M,27.0,"swept out to sea, feared taken by shark",False,Unknown,Shark involvement prior to death was not confirmed,"The Advertiser, 12/4/1989, p.2",1989.12.02-Preston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.02-Preston.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.12.02-Preston.pdf,1989.12.02,1989.12.02,3652.0,unknown,unknown
2652,1989.11.22,22-Nov-1989,1989,Unprovoked,australia,Victoria,Kilcunda,surfing,Gary White,M,32.0,thigh bitten,False,Unknown,White shark,"Courier-Mail, 11/24/1989, p.3; J. West, ASAF",1989.11.22-White.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.22-White.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.22-White.pdf,1989.11.22,1989.11.22,3651.0,unknown,unknown
2653,1989.11.18,18-Nov-1989,1989,Unprovoked,south africa,Western Cape Province,Melkbosstrand,free diving & spearfishing,Gerjo Van Niekerk,M,29.0,fatal,True,Unknown,White shark,"M. Levine, GSAF",1989.11.18-VanNiekerk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.18-VanNiekerk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.18-VanNiekerk.pdf,1989.11.18,1989.11.18,3650.0,unknown,unknown
2654,1989.11.12,12-Nov-1989,1989,Invalid,usa,Hawaii,"Ehukai Beach Park, Sunset Beach, O'ahu","wading, knocked down & swept away by large waves",Edward Malek,M,25.0,lower porton of body recovered 3 days later. note: rare sighting of shark made at same beach on 11-5-1989 ,False,Unknown,Shark involvement prior to death was not confirmed,"J. Borg, p.78; L. Taylor (1993), pp.108-109",1989.11.12-Malek.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.12-Malek.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.12-Malek.pdf,1989.11.12,1989.11.12,3649.0,unknown,unknown
2655,1989.11.02,02-Nov-1989,1989,Unprovoked,australia,Queensland,Mermaid Waters,swimming in canal,Kristoffer Fredriksen,M,10.0,left ankle broken & lacerated,False,Unknown,Unknown,"Courier-Mail, 11/7/1989, p.3",1989.11.02-Fredriksen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.02-Fredriksen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.11.02-Fredriksen.pdf,1989.11.02,1989.11.02,3648.0,unknown,unknown
2656,1989.10.29.R,Reported 29-Oct-1989,1989,Unprovoked,australia,Northern Territory,Edith Falls,swimming,Christine Kaesler,F,31.0,puncture marks to right calf,False,Unknown,Unknown,"Sunday Mail, 10/29/1989",1989.10.29.R-Kaesler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.29.R-Kaesler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.29.R-Kaesler.pdf,1989.10.29.R,1989.10.29.R,3647.0,unknown,unknown
2657,1989.10.22,22-Oct-1989,1989,Unprovoked,australia,Tasmania,Shelly Point ,surfing,Steven Jillet,M,17.0,"no injury, board bitten",False,Unknown,Unknown,"Hobart Mercury, 10/23/1989, p.1; C. Black, pp 163-167",1989.10.22-Jillet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.22-Jillet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.22-Jillet.pdf,1989.10.22,1989.10.22,3646.0,unknown,unknown
2658,1989.10.14,14-Oct-1989,1989,Invalid,usa,Hawaii,"Kahe Point, O'ahu",scuba diving,"Ray Mehl, Jr.",M,25.0,"disappeared 15 minutes into shallow dive. decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",False,Unknown,Shark involvement suspected but not confirmed,"Washington Post, 10/17/1989, J. Borg, pp.77-78; L. Taylor (1993), pp.108-109",1989.10.14-Mehl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.14-Mehl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.14-Mehl.pdf,1989.10.14,1989.10.14,3645.0,unknown,unknown
2659,1989.10.11,11-Oct-1989,1989,Unprovoked,usa,Texas,Surfside Beach,surfing,Jason Largent,M,12.0,foot & leg bitten,False,Unknown,Unknown,"Austin American Statesman, 10/13/1989, p.B6",1989.10.11-Largent.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.11-Largent.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.11-Largent.pdf,1989.10.11,1989.10.11,3644.0,unknown,unknown
2660,1989.10.08,08-Oct-1989,1989,Invalid,usa,North Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",diving,Doug Nunnally,M,49.0,fatal,False,Unknown,Shark involvement suspected but not confirmed,"C. Creswell, GSAF & Search & Rescue diver, New Hanover County; F. Schwartz ",1989.10.08-Nunnally.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.08-Nunnally.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.08-Nunnally.pdf,1989.10.08,1989.10.08,3643.0,unknown,unknown
2661,1989.10.01,01-Oct-1989,1989,Unprovoked,australia,Victoria,"Surfers Point, Phillip Island",surfing,John Benson,M,25.0,no details,False,Unknown,White shark,"J. West, ASAF",1989.10.01-Benson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.01-Benson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.10.01-Benson.pdf,1989.10.01,1989.10.01,3642.0,unknown,unknown
2662,1989.09.17,17-Sep-1989,1989,Unprovoked,south africa,Western Cape Province,"Smitswinkel, False Bay",free diving,Gerjo Van Niekerk,M,29.0,chest lacerated,False,Unknown,"White shark, identified by tooth pattern","G.v.Niekerk,  C. Walker, M.Levine, GSAF",1989.09.17-GerjoVanNiekerk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.17-GerjoVanNiekerk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.17-GerjoVanNiekerk.pdf,1989.09.17,1989.09.17,3641.0,unknown,unknown
2663,1989.09.13,13-Sep-1989,1989,Provoked,usa,Florida,"Gulf of Mexico, 22 miles from Pensacola","fishing, stepped on hooked shark's head",Charles N. Swafford,M,51.0,bitten by hooked shark provoked incident,False,Unknown,Unknown,"Miami Herald, 9/15/1989",1989.09.13-Swafford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.13-Swafford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.13-Swafford.pdf,1989.09.13,1989.09.13,3640.0,unknown,unknown
2664,1989.09.10,10-Sep-1989,1989,Boat,usa,California,"Off Palos Verdes Estates, Los Angeles",observing a shark feeding on a carcass of a humpback whale,11.6 m fibreglass boat. Occupants: Tony DeCriston & Dan Fink,M,25.0,no injury to occupants. shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,False,Unknown,Unknown,R. Collier,1989.09.10-DeCristo_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.10-DeCristo_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.10-DeCristo_Collier.pdf,1989.09.10,1989.09.10,3639.0,unknown,unknown
2665,1989.09.09.b,09-Sep-1989,1989,Unprovoked,usa,California,"Southeast Farallon Island, Farallon Islands",hookah diving for abalone (descending),Mark Tisserand,M,38.0,leg bitten,False,Unknown,Unknown,"R. Collier, pp.110-112      ",1989.09.09-Tisserand_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.09-Tisserand_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.09-Tisserand_Collier.pdf,1989.09.09.b,1989.09.09.b,3638.0,unknown,unknown
2666,1989.09.09.a,09-Sep-1989,1989,Unprovoked,usa,North Carolina,"Salvo, Dare County",surfing,Robert Ballard,M,31.0,non-fatal,False,Unknown,Sandbar shark,"C. Creswell, GSAF",1989.09.09.a-Ballard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.09.a-Ballard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.09.a-Ballard.pdf,1989.09.09.a,1989.09.09.a,3637.0,unknown,unknown
2667,1989.09.03,03-Sep-1989,1989,Provoked,usa,California,24 km off Santa Catalina Island in the Channel Islands,filming 5' blue shark,Larry Stroup,M,46.0,hand  & both arms bitten   provoked incident,False,Unknown,Blue Shark ,"R. Collier, p. xxvi;  Orlando Sentinel, 9/6/1989, p.3A",1989.09.03-Stroup.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.03-Stroup.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.09.03-Stroup.pdf,1989.09.03,1989.09.03,3636.0,unknown,unknown
2668,1989.08.29,29-Aug-1989,1989,Provoked,australia,Queensland,SeaWorld Theme Park,feeding fish,Mike Richardson,M,30.0,left leg bitten by captive shark                   provoked incident,False,Unknown,Grey nurse shark,"The Canberra Times, 9/1/1989",1989.08.29-Richardson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.29-Richardson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.29-Richardson.pdf,1989.08.29,1989.08.29,3635.0,unknown,unknown
2669,1989.08.22.b,22-Aug-1989,1989,Unprovoked,usa,Florida,"St Augustine, St Johns County",swimming,Anthony McKnight,M,21.0,3 wounds on left hand,False,Unknown,Unknown,"Orlando Sentinel, 8/24/1989. p.B1",1989.08.22.b-McKnight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.22.b-McKnight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.22.b-McKnight.pdf,1989.08.22.b,1989.08.22.b,3634.0,unknown,unknown
2670,1989.08.22.a,22-Aug-1989,1989,Unprovoked,south africa,Western Cape Province,Mossel Bay,surfing,Niko von Broembsen,M,21.0,multiple injuries,False,Unknown,Unknown,"N.v.Broembsen; M. Levine, GSAF",1989.08.22.a-vonBroembsen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.22.a-vonBroembsen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.22.a-vonBroembsen.pdf,1989.08.22.a,1989.08.22.a,3633.0,unknown,unknown
2671,1989.08.13,13-Aug-1989,1989,Unprovoked,australia,New South Wales,Lennox Head,surfing,Michael Guy,M,17.0,"no injury, shark took chunk out of surfboard",False,Unknown,Unknown,"Sydney Morning Herald, 8/14/1989, p.3; Courier Mail, 8/19/1989, p.2",1989.08.13-Guy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.13-Guy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.13-Guy.pdf,1989.08.13,1989.08.13,3632.0,unknown,unknown
2672,1989.08.09,09-Aug-1989,1989,Unprovoked,bahamas,Great Exuma Island,Highborn Cay,spearfishing,Judy St. Clair,F,31.0,severe hand and arm injuries; right hand surgically amputated,False,Unknown,Unknown,"Orlando Sentinel, 8/10/1989, pp B3 & B5; Palm Beach Post, 8/15/1989 
",1989.08.09-StClair.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.09-StClair.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.09-StClair.pdf,1989.08.09,1989.08.09,3631.0,unknown,unknown
2673,1989.08.06.R,Reported    06-Aug-1989,1989,Provoked,australia,Queensland,Moreton Bay,fishing for sharks,Vic Hislop,M,41.0,laceration to arm  provoked incident,False,Unknown,Unknown,"Sunday Mail, 8/6/1989",1989.08.06.R-Hislop.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.06.R-Hislop.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.08.06.R-Hislop.pdf,1989.08.06.R,1989.08.06.R,3630.0,unknown,unknown
2674,1989.07.27,27-Jul-1989,1969,Invalid,bermuda,bermuda,Unknown,scuba diving,Russian male,M,35.0,fatal,False,Unknown,Shark involvement suspected but not confirmed,"LA Times, 7/28/1989",1989.07.27-SovietDiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.27-SovietDiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.27-SovietDiver.pdf,1989.07.27,1989.07.27,3629.0,unknown,unknown
2675,1989.07.20,20-Jul-1989,1989,Unprovoked,south africa,Eastern Cape Province,Jeffreys Bay,surfing,Edward Razzano,M,34.0,torso bitten,False,Unknown,Unknown," E. Razzano & R. Joseph; M. Levine, GSAF",1989.07.20-Razzano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.20-Razzano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.20-Razzano.pdf,1989.07.20,1989.07.20,3628.0,unknown,unknown
2676,1989.07.19,19-Jul-1989,1989,Unprovoked,reunion,Sainte-Suzanne,Temple Tamoule,surfing,Bruno Giraud ,M,25.0,fatal,True,Unknown,Unknown,"Clicanoo, le journal  de l'Ile de la Réunion",1989.07.19-Giraud.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.19-Giraud.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.19-Giraud.pdf,1989.07.19,1989.07.19,3627.0,unknown,unknown
2677,1989.07.14,14-Jul-1989,1989,Unprovoked,usa,Florida,"Cocoa Beach, Brevard County",surfing,John O'Brien,M,16.0,5-inch gash on left leg,False,Unknown,Unknown,"Orlando Sentinel, 7/17/1989",1989.07.14-JohnO'Brien.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.14-JohnO'Brien.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.14-JohnO'Brien.pdf,1989.07.14,1989.07.14,3626.0,unknown,unknown
2678,1989.07.07,07-Jul-1989,1989,Unprovoked,usa,Texas,"Sargent Beach, Matagorda County",playing ,Rene Richbourg,F,25.0,leg bitten,False,Unknown,Unknown,"Austin American Statesman, 7/11/1989, B4 & 10/13/1989, p.B6",1989.07.07-Richbourg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.07-Richbourg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.07.07-Richbourg.pdf,1989.07.07,1989.07.07,3625.0,unknown,unknown
2679,1989.06.29,29-Jun-1989,1989,Unprovoked,usa,Hawaii,"Anahola, Kaua'i",fell off surfboard 20' from shore,Anthony Paden,M,25.0,foot & ankle severely bitten,False,Unknown,Unknown,"J. Borg, p.77; L. Taylor (1993), pp.108-109",1989.06.29-Paden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.06.29-Paden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.06.29-Paden.pdf,1989.06.29,1989.06.29,3624.0,unknown,unknown
2680,1989.06.17,17-Jun-1989,1989,Unprovoked,usa,Louisiana,40 miles off Cocodrie,spearfishing,Carl Loe,M,45.0,puncture wounds & lacerations to both legs,False,Unknown,Unknown,"The Advocate (Baton Rouge, La.), 6/21/1989",1989.06.17-Loe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.06.17-Loe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.06.17-Loe.pdf,1989.06.17,1989.06.17,3623.0,unknown,unknown
